stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,latestReading,parameter,qualifier,unitName
1486TH,51.874246,-1.18499,456205.0,219834.0,1.955,0.921,1.59,0.925,1.165,level,Stage,mASD
52158,51.05693,-2.949032,333583.0,129050.0,6.103,3.598,3.972,3.548,3.671,level,Stage,m
3350TH,51.355767,-0.2551819999999999,521590.0,163300.0,0.802,0.011,1.035,0.026,0.089,level,Stage,mASD
2936TH,51.389272,-0.5062909999999999,504030.0,166640.0,1.783,0.278,1.5,0.3,0.932,level,Stage,mASD
E1594,53.202079,-0.553771,496700.0,368200.0,2.091,0.0,1.84,0.297,0.544,level,Stage,mASD
L2208,54.311836,-2.102939,393400.0,490700.0,4.078,-0.08,2.0,0.051,1.398,level,Stage,m
2966TH,51.349005,-0.602519,497420.0,162030.0,2.725,0.845,1.54,0.915,1.025,level,Stage,mASD
2204TH,51.450901,-1.859793,409839.0,172445.0,2.33,-0.16,1.105,0.0,0.494,level,Stage,mASD
L1386,53.70985,-1.690136,420550.0,423760.0,1.616,-0.006,0.35,0.015,0.012,level,Stage,m
4045TH,51.374843,-0.208335,524800.0,165500.0,2.915,0.7030000000000001,2.39,0.734,0.946,level,Stage,mASD
2264TH,51.422436,-1.350461,445260.0,169470.0,0.545,0.032,0.2,0.041,0.09,level,Stage,mASD
4890TH,51.801234,-0.079759,532503.0,213143.0,1.537,0.098,0.8,0.127,0.237,level,Stage,mASD
48108,50.266031,-4.918599,192095.0,44749.0,2.298,0.133,1.5,0.252,1.208,level,Stage,m
E670,51.254622,0.4850759999999999,573510.0,153540.0,4.022,0.0,1.71,1.155,1.445,level,Stage,mASD
52111,51.020017,-3.100618,322898.0,125093.0,1.836,0.202,1.77,0.8180000000000001,1.116,level,Stage,m
45233,50.798774,-3.194372,315924.0,100593.0,0.855,0.021,0.4,0.028,0.048,level,Stage,m
L3503,54.533026,-1.55104,429150.0,515400.0,2.182,0.02,1.7000000000000002,0.08,0.362,level,Stage,m
2893TH,51.466242,-0.501779,504169.0,175206.0,1.236,0.125,1.12,0.21,0.797,level,Stage,mASD
L1808,53.713759,-1.26662,448500.0,424400.0,2.389,-0.039,2.0,0.158,1.089,level,Stage,m
L17012,53.800865,-1.480337,434324.0,433967.0,1.737,0.034,1.15,0.075,0.185,level,Stage,m
F3316,53.739921,-0.144398,522485.0,428659.0,3.093,0.072,1.9,0.176,1.096,level,Stage,mAOD
3012TH,51.150372,-0.96697,472350.0,139520.0,0.562,-0.198,0.5,0.0,0.194,level,Stage,mASD
2653,51.88594,-2.093645,393651.0,220825.0,2.75,0.04,0.32,0.08,0.219,level,Stage,mASD
L2519,54.308919,-0.7463529999999999,481664.0,491095.0,2.204,0.098,1.41,0.189,0.637,level,Stage,m
E21449,52.087826,-0.717093,487997.0,244052.0,3.15,0.032,1.9,0.105,1.716,level,Stage,mASD
4370TH,51.441442,-0.0268689999999999,537230.0,173230.0,1.204,0.046,2.1,0.071,0.144,level,Stage,mASD
E1608,53.229862,-0.5468419999999999,497100.0,371300.0,1.318,0.0,0.788,0.23,0.274,level,Stage,mASD
1800TH,51.647821,-1.254167,451700.0,194600.0,4.442,1.064,3.51,1.911,3.378,level,Stage,mASD
2616,52.158602,-2.219449,385084.0,251171.0,7.489,0.475,5.0,0.512,4.697,level,Stage,mASD
E5852,50.991816,0.524378,577255.0,124413.0,3.358,0.029,2.3,0.07,1.811,level,Stage,mASD
713056,53.833695,-2.453518,370250.0,437590.0,5.22,0.19,2.8,0.259,1.624,level,Stage,m
5369TH,51.615727,-0.0652529999999999,534050.0,192540.0,1.452,0.0,1.7000000000000002,0.042,0.139,level,Stage,mASD
690205,53.5659,-2.293017,380690.0,407740.0,3.362,0.031,2.45,0.07,0.433,level,Stage,m
E2815,53.080542,-0.614579,492900.0,354600.0,2.2,-0.18,0.298,0.04,0.38,level,Stage,m
L2013,53.863248,-1.192116,453228.0,441085.0,8.322,5.072,7.45,5.375,5.9,level,Stage,mAOD
713019,53.76911,-2.624715,358920.0,430490.0,6.698,0.76,4.83,1.14,2.952,level,Stage,m
724735,54.051851,-2.822021,346280.0,462080.0,6.808,1.289,6.25,1.607,2.14,level,Stage,m
2889TH,51.533611,-0.47115,506140.0,182742.0,1.885,0.004,1.0,0.037,0.232,level,Stage,mASD
50133,51.076717,-3.866807,269320.0,132480.0,2.364,0.0,1.5,0.197,0.737,level,Stage,m
3823TH,51.610531,-0.313052,516908.0,191537.0,1.348,0.024,1.0,0.049,0.288,level,Stage,mASD
4163,52.986245,-1.163701,456240.0,343540.0,1.364,0.015,0.95,0.033,0.103,level,Stage,mASD
53133,51.451028,-2.55481,361543.0,172596.0,3.22,0.0,2.91,0.151,0.907,level,Stage,mASD
E22744,51.935709,0.697218,585516.0,229793.0,2.164,0.062,1.14,0.042,0.459,level,Stage,m
4126,52.92478,-1.166968,456100.0,336700.0,5.392,0.652,2.9,0.86,1.79,level,Stage,mASD
2097,52.10744,-2.07193,395170.0,245460.0,6.067,2.6630000000000003,3.606,3.36,3.419,level,Stage,mASD
43120,51.036427,-1.771751,416100.0,126366.0,1.415,0.24,1.083,0.49,1.185,level,Stage,m
48173,50.050669,-5.634771,139899.0,23058.0,0.97,0.151,0.675,0.192,0.394,level,Stage,m
46120,50.390648,-3.72194,277692.0,55947.0,5.276,0.51,1.25,0.654,1.475,level,Stage,mASD
