stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
47136,50.440154,-4.298799,236860.0,62560.0,2.438,0.14400000000000002,1.5,0.218
L1602,53.837637,-1.706351,419421.0,437973.0,3.797,0.094,2.4,0.16
E84089,50.849027,-3.398268,301661.0,106433.0,0.989,0.28700000000000003,0.6000000000000001,0.301
735123,54.422024,-2.98839,335965.0,503406.0,4.5,0.312,1.754,0.447
L0511,53.40368,-1.495054,433668.0,389771.0,3.5140000000000002,0.234,1.2,0.306
43166,51.278098,-1.667476,423290.0,153270.0,129.568,103.523,125.0,0.0
E81959,50.581483,-3.667814,282016.0,77078.0,1.192,0.36,1.15,0.369
2442TH,51.263973,-0.950093,473350.0,152170.0,0.623,0.02,0.439,0.097
L0316,53.332815,-1.318082,445509.0,381985.0,,,,
E23265,52.546902,1.2816079999999999,622600.0,299400.0,,,,
E84169,50.671079,-3.41471,300125.0,86668.0,,,,
E23115,52.167176,1.05147,608782.0,256492.0,1.506,0.11800000000000001,0.81,0.07
E1833,52.234591,-1.078908,463000.0,260000.0,,,,
E84049,50.630009,-3.328259,306152.0,81988.0,0.331,0.10200000000000001,0.25,0.105
L2035,53.880307,-1.355437,442470.0,442873.0,1.682,-0.019,0.75,0.149
L2801,53.74959,-0.9690529999999999,468081.0,428630.0,5.475,-0.209,3.066,1.217
E81939,50.788575,-2.995254,329941.0,99251.0,2.071,0.083,0.4,0.109
53192,51.542061,-2.3859529999999998,373330.0,182645.0,2.237,0.34,2.1,0.367
F3904,54.564112,-1.287016,446200.0,519000.0,,,,
E84009,50.698568,-3.2524,311646.0,89518.0,1.094,0.096,0.7000000000000001,0.113
E73624,54.65072,-3.56717,298980.0,529532.0,,,,
E6381,50.989632,0.7550500000000001,593450.0,124750.0,,,,
E45951,51.737726,0.446926,569052.0,207169.0,,,,
E81979,50.746777,-3.39064,301984.0,95053.0,1.733,0.4,0.75,0.40800000000000003
3839TH,51.562196,-0.27948,519359.0,186216.0,1.67,-0.003,2.22,0.066
L0508,53.514847,-1.590551,427248.0,402098.0,2.141,-0.02,0.9,-0.002
E24813,52.347523,1.460671,635800.0,277800.0,,,,
E84029,50.660231,-3.298296,308330.0,85311.0,0.435,0.076,0.30000000000000004,0.099
0240120,54.776573,-1.57257,427592.0,542492.0,3.825,0.166,2.63,0.226
E22596,52.134213,-0.46237799999999996,505339.0,249550.0,,,,
E71313,50.75649,-3.529203,292231.0,96326.0,4.559,2.956,4.28,2.977
750917,54.601275,-3.1492,325857.0,523509.0,4.028,0.067,2.0,0.17300000000000001
