stationReference,latestReading,parameter,qualifier,unitName
2230TH,0.302,level,Stage,mASD
2165,2.172,level,Stage,mASD
E22539,0.738,level,Stage,m
712130,0.989,level,Stage,m
F0203,0.814,level,Stage,m
2661,0.242,level,Stage,mASD
3229TH,0.382,level,Stage,mASD
F1508,,level,Stage,---
690250,1.223,level,Stage,m
1501TH,,level,Downstream Stage,---
2128,1.404,level,Stage,mASD
4083,1.148,level,Stage,mASD
E24814,0.556,level,Stage,mASD
2624,,level,Stage,mASD
44122,0.329,level,Stage,m
023018,0.146,level,Stage,m
2928TH,1.078,level,Stage,mASD
47122,0.903,level,Stage,m
4046,0.693,level,Stage,mASD
764070,0.953,level,Stage,m
E1245,0.262,level,Stage,m
E1839,0.291,level,Stage,mASD
4009,2.371,level,Stage,mASD
E1110,1.879,level,Stage,mASD
751020,,level,Stage,---
53141,0.604,level,Stage,m
0130TH,0.761,level,Stage,mASD
E4370,0.349,level,Stage,mASD
52157,4.373,level,Stage,m
43226,0.688,level,Stage,m
770302,,level,Stage,m
4150TH,0.274,level,Stage,mASD
F3004,0.079,level,Stage,m
0190TH,0.848,level,Downstream Stage,mASD
E581,0.043,level,Stage,mASD
L0414,0.145,level,Stage,m
2885TH,0.516,level,Stage,mASD
761260,1.534,level,Stage,m
E22344,0.19,level,Stage,m
L2592,0.109,level,Stage,m
700325,0.333,level,Stage,m
E21856,0.373,level,Stage,mASD
48107,0.426,level,Stage,m
52208,1.547,level,Stage,mASD
52110,0.661,level,Stage,m
021030,0.126,level,Stage,m
2652,,level,Stage,mASD
685513,0.804,level,Stage,m
3815TH,0.817,level,Stage,mASD
E7050,,level,Stage,mAOD
4074,0.6,level,Stage,mASD
E1013,0.211,level,Stage,mASD
E24805,0.403,level,Stage,mASD
750806,,level,Stage,m
2615,1.889,level,Stage,mASD
1302TH,,level,Downstream Stage,---
44113,0.078,level,Stage,mASD
2469_w1TH,0.791,level,Stage,mASD
023009,0.673,level,Stage,m
5322TH,0.571,level,Stage,mASD
4037,1.146,level,Stage,mASD
E2814,1.181,level,Stage,mASD
46129,0.677,level,Stage,m
3629TH,0.084,level,Stage,mASD
49129,0.365,level,Stage,m
50132,1.224,level,Stage,m
1961TH,,level,Stage,V
730507,,level,Stage,m
53132,1.427,level,Stage,m
43217,,level,1,m
E2902,0.152,level,Stage,mASD
48172,1.09,level,Stage,m
022015,0.545,level,Stage,m
724326,0.958,level,Stage,m
L0405,0.196,level,Stage,m
5318TH,0.983,level,Stage,mASD
45135,1.453,level,Stage,m
L1376,,level,Stage,---
0006,-1.324,level,Tidal Level,mAOD
693515,0.646,level,Stage,m
L3901,-0.537,level,Tidal Level,mAOD
L2323,,level,Stage,---
2808TH,0.559,level,Stage,mASD
1471TH,0.218,level,Downstream Stage,mASD
681213,,level,Stage,m
L1241,0.98,level,Stage,m
0712TH,0.998,level,Stage,mASD
E1672,1.317,level,Stage,mASD
3404TH,,level,Stage,---
740102,0.712,level,Stage,m
755900,,level,Tidal Level,m
E4412,1.043,level,Stage,mASD
E2717,0.194,level,Stage,m
L1204,1.791,level,Stage,m
021021,1.591,level,Stage,m
44239,114.783,level,Groundwater,mAOD
023037,0.869,level,Stage,m
690232,0.258,level,Stage,m
43157,-0.003,level,Stage,m
47141,0.52,level,Stage,m
4065,3.986,level,Stage,mAOD
E12791,0.393,level,Stage,mASD
E21341,2.523,level,Stage,m
700404,0.364,level,Stage,m
2012,1.654,level,Stage,mASD
735226,1.094,level,Stage,m
2272,0.141,level,Stage,mASD
2606,4.077,level,Stage,mASD
1437TH,0.306,level,Stage,mASD
5427TH,0.214,level,Downstream Stage,mASD
2003TH,,level,Stage,---
L12061,0.46,level,Stage,m
4190,0.461,level,Stage,mASD
1099TH,,level,Downstream Stage,---
53160,,level,Stage,mASD
E22511,0.27,level,Stage,m
E2694,0.074,level,Stage,mASD
50123,0.353,level,Stage,m
L1515,,level,Stage,---
L3804,0.898,level,Stage,m
53123,1.678,level,Stage,m
E1946,0.787,level,Stage,mASD
F1207,,level,Stage,---
43208,1.145,level,Stage,mASD
4116,0.489,level,Stage,mASD
2087,2.845,level,Stage,mASD
F1703,1.009,level,Stage,m
L3693,0.971,level,Stage,m
712052,0.608,level,Stage,m
E22103,0.542,level,Stage,m
022006,0.483,level,Stage,m
46110,0.769,level,Tidal Level,m
L2351,,level,Stage,---
E21119,0.082,level,Stage,m
