stationReference,latestReading,parameter,qualifier,unitName
50135,0.482,level,Stage,m
E24302,,level,Stage,mASD
2250TH,1.089,level,Stage,mASD
1408TH,1.114,level,Stage,mASD
L1527,0.762,level,Stage,m
53135,0.673,level,Stage,m
E22152,0.33,level,Stage,m
44204,0.497,level,Stage,m
692348,0.992,level,Stage,m
E9157,,level,Stage,mAOD
4091TH,1.342,level,Stage,mASD
2004TH,,level,Downstream Stage,---
F1715,0.218,level,Stage,m
720780,0.772,level,Stage,m
43122,93.646,level,Groundwater,mAOD
E15260,0.217,level,Stage,mASD
5541TH,,level,Stage,---
46122,1.191,level,Stage,m
2831,5.247,level,Stage,mASD
L0668,,level,Stage,---
E12483,0.816,level,Stage,mASD
49122,2.731,level,Tidal Level,m
E4823,0.546,level,Stage,mASD
L0904,4.494,level,Stage,mAOD
0009,1.448,level,Tidal Level,mAOD
48138,0.779,level,Stage,m
5355TH,1.134,level,Stage,mASD
43210,0.772,level,Stage,mASD
L1207,,level,Stage,---
L1703,2.138,level,Stage,m
2646,1.533,level,Stage,mASD
024024,,level,Downstream Stage,---
744312,0.965,level,Stage,m
692190,,level,Stage,---
692524,1.053,level,Stage,m
2015,0.73,level,Stage,mASD
F2106,1.487,level,Stage,m
2609,1.203,level,Downstream Stage,mASD
44107,0.519,level,Stage,mASD
2511,0.741,level,Stage,mASD
L2043,0.349,level,Stage,m
4382TH,1.181,level,Stage,mASD
4868TH,0.714,level,Stage,mASD
E2710,0.596,level,Stage,mASD
723423,1.699,level,Stage,m
51110,0.352,level,Stage,m
44232,0.502,level,1,mAOD
E714,0.546,level,Stage,mASD
L0807,0.505,level,Stage,m
E8970,0.898,level,Tidal Level,mASD
50126,0.593,level,Stage,mASD
L3807,0.099,level,Stage,m
53126,1.266,level,Stage,mASD
46150,0.467,level,Stage,m
L2725,0.142,level,Stage,m
762600,2.622,level,Stage,m
49150,,level,Tidal Level,m
5190TH,1.427,level,Stage,mASD
43113,0.58,level,Stage,m
2620TH,,level,Stage,---
022009,,level,Stage,---
4378TH,0.424,level,Stage,mASD
2199TH,,level,Stage,---
743008,0.926,level,Stage,m
49113,0.424,level,Stage,m
E21284,0.328,level,Stage,m
48129,1.782,level,Sump Level,m
2802TH,0.23,level,Stage,mASD
690138,,level,Stage,---
4207,0.216,level,Stage,mASD
750605,0.406,level,Stage,m
E1072,,level,Stage,mASD
E1406,0.832,level,Stage,mASD
L17033,0.205,level,Stage,m
F2505,0.75,level,Stage,m
730120,0.848,level,Stage,m
E2613,0.964,level,Stage,mASD
45217,0.194,level,Stage,m
47172,1.482,level,Stage,m
770500,0.471,level,Stage,m
5308TH,0.902,level,Stage,mASD
024015,0.344,level,Stage,m
E23151,0.232,level,Stage,m
3090TH,1.077,level,Stage,mASD
E23745,,level,Tidal Level,m
762540,2.334,level,Stage,m
47135,0.465,level,Stage,m
1431TH,0.738,level,Stage,mASD
E72439,0.318,level,Tidal Level,mAOD
E72424,5.118,level,Tidal Level,m
F0304,,level,Stage,---
L1546,,level,Stage,---
2131,0.633,level,Stage,mASD
53154,1.197,level,Stage,m
2941TH,0.678,level,Stage,mASD
L0204,0.598,level,Stage,m
E21187,0.48,level,Stage,m
50117,1.484,level,Stage,m
L3204,2.566,level,Stage,mAOD
023021,1.232,level,Stage,m
4020TH,1.038,level,Stage,mASD
680301,1.613,level,Stage,m
713030,1.853,level,Stage,m
4050TH,0.474,level,Stage,mASD
4012,1.473,level,Stage,mASD
4080TH,0.307,level,Stage,mASD
E7842,0.296,level,Stage,mASD
F2570,0.361,level,Stage,m
694744,0.442,level,Stage,m
E21609,0.603,level,Stage,mASD
E21511,0.64,level,Stage,m
2937TH,1.651,level,Stage,mASD
L2210,,level,1,---
692418,0.278,level,Stage,m
E21238,0.157,level,Tidal Level,mAOD
2569TH,-0.321,level,Downstream Stage,mASD
2169,1.753,level,Stage,mASD
2071,3.334,level,Stage,mASD
E23277,0.416,level,Stage,m
E2270,1.918,level,Stage,mASD
4087,,level,Logged,mASD
1020TH,0.035,level,Downstream Stage,mASD
2034,0.246,level,Stage,mASD
737537,0.932,level,Stage,m
F2125,0.472,level,Stage,m
024006,0.289,level,Stage,m
E8010,,level,Stage,mASD
48110,0.49,level,Stage,m
E1782,0.337,level,Stage,mASD
52211,0.542,level,Stage,mASD
690713,0.246,level,Stage,m
2894TH,1.304,level,Stage,mASD
E1151,,level,Stage,mASD
L1810,,level,Stage,---
055028_TG_9302,0.342,level,Stage,mASD
E1708,0.275,level,Stage,m
1801TH,,level,Stage,---
F2807,0.946,level,Stage,m
E2085,2.713,level,Tidal Level,mAOD
E24795,0.386,level,Stage,mASD
4040,-0.19,level,Downstream Stage,mASD
48185,-0.498,level,Stage,m
713119,0.544,level,Stage,m
F3504,1.207,level,Stage,m
L2373,,level,Stage,---
49132,0.524,level,Stage,m
681003,0.424,level,Stage,m
L1389,0.018,level,Stage,m
E10440,0.393,level,Stage,mASD
0019,,level,Tidal Level,mAOD
4003,0.165,level,Downstream Stage,mASD
1645TH,2.311,level,Stage,mASD
1675TH,1.267,level,Stage,mASD
724700,0.241,level,Stage,m
52151,0.512,level,Stage,m
724427,0.908,level,Stage,m
L2201,,level,Stage,---
0490TH,1.011,level,Downstream Stage,mASD
52114,0.434,level,Stage,m
2821TH,0.977,level,Stage,mASD
2656,,level,Stage,mASD
E1550,1.204,level,Stage,mASD
685517,0.357,level,Stage,m
E2261,1.126,level,Stage,mASD
2453TH,0.786,level,Stage,mASD
4078,2.231,level,Stage,mASD
2619,-3.841,level,Stage,mASD
1460_w1TH,0.72,level,Stage,mASD
E8001,0.529,level,Stage,mASD
47117,1.649,level,Stage,m
E10380,3.145,level,Stage,mASD
L1305,1.458,level,Stage,m
5327TH,0.227,level,Stage,mASD
067043,,level,Stage,m
L1801,,level,Stage,---
1420TH,0.41,level,Downstream Stage,mASD
E8980,0.776,level,Tidal Level,mAOD
50136,0.348,level,Stage,m
43160,1.016,level,Stage,m
2419TH,,level,Stage,---
693333,0.486,level,Stage,m
53136,1.016,level,Stage,m
5470TH,0.975,level,Stage,mASD
1082TH,1.31,level,Stage,mASD
44205,0.437,level,Stage,m
2900TH,3.18,level,Stage,mASD
4129,0.562,level,Stage,mASD
023003,1.633,level,Stage,m
43123,1.489,level,Stage,m
4031,0.681,level,Stage,mASD
E43214,0.0,level,Tidal Level,mAOD
46123,0.849,level,2,m
E8312,,level,Stage,mASD
2832,1.576,level,Stage,mASD
720248,1.11,level,Stage,m
L0669,0.351,level,Stage,m
E21034,0.208,level,Stage,mASD
49123,0.878,level,Stage,m
3075TH,0.852,level,Stage,mASD
0903TH,,level,Downstream Stage,---
L3311,,level,Stage,---
692710,0.741,level,Stage,m
693421,0.277,level,Stage,m
1416TH,1.29,level,Stage,mASD
E70939,-0.515,level,Tidal Level,mAOD
E70924,2.085,level,Tidal Level,m
2188,0.911,level,Stage,mASD
2090,0.943,level,Stage,mASD
712153,1.217,level,Stage,m
E23036,0.43,level,Stage,m
E23296,0.259,level,Stage,m
F2515,0.252,level,Stage,m
L2452,1.074,level,Stage,m
724320,0.833,level,Stage,m
E10023,32.782,level,Stage,mAOD
E1541,1.573,level,Stage,mASD
E19023,0.424,level,Stage,mASD
4069,0.987,level,Stage,mASD
E2846,0.269,level,Stage,mASD
700408,0.575,level,Stage,m
2016,0.972,level,Stage,mASD
0890TH,0.556,level,Downstream Stage,mASD
E1170,,level,Stage,mASD
F2603,0.392,level,Stage,m
F0908,1.713,level,Stage,m
E12660,0.363,level,Tidal Level,mAOD
L2007,,level,Stage,---
E1727,1.246,level,Stage,mASD
763308,0.867,level,Stage,m
51111,0.26,level,Stage,mASD
L0808,,level,Stage,---
50127,,level,Stage,m
2104,0.297,level,Stage,mASD
53127,3.772,level,Stage,mASD
730404,0.979,level,Stage,m
E8340,0.562,level,Stage,mASD
F0402,0.436,level,Stage,m
F3523,0.893,level,Stage,m
713040,2.239,level,Stage,m
L0933,0.501,level,Stage,m
F1707,,level,Stage,---
43114,0.419,level,Stage,m
4022,1.483,level,Stage,mASD
46114,0.645,level,1,m
F2320,,level,Stage,---
E23931,0.632,level,Tidal Level,mAOD
0184TH,1.645,level,Stage,mASD
L1607,1.642,level,Stage,m
2849TH,0.13,level,Stage,mASD
L2480,,level,Stage,---
E61901,0.263,level,Stage,mASD
E21150,0.567,level,Tidal Level,mAOD
4326TH,,level,Stage,mASD
3028TH,1.223,level,Stage,mASD
4386TH,0.107,level,Stage,mASD
45218,0.426,level,Stage,m
47173,0.438,level,Stage,m
45120,,level,4,m
024016,0.806,level,Stage,m
E22678,0.988,level,Stage,m
2290TH,,level,Downstream Stage,m
L2406,,level,Stage,---
2810TH,0.477,level,Stage,mASD
47136,1.078,level,Stage,m
735123,1.979,level,Stage,m
2442TH,0.14,level,Downstream Stage,mASD
E23115,0.375,level,Stage,m
L2035,,level,Stage,---
53192,1.263,level,Stage,m
E73624,5.006,level,Tidal Level,m
3839TH,0.156,level,Stage,mASD
0240120,0.891,level,Stage,m
750917,1.543,level,Stage,m
2132,1.007,level,Stage,mASD
53155,1.76,level,Stage,m
44224,0.314,level,Stage,m
694063,,level,Stage,---
763201,0.655,level,Stage,m
50118,1.385,level,Stage,m
023022,0.668,level,Stage,m
E15280,0.363,level,Stage,mASD
1925TH,1.234,level,Stage,mASD
F1104,0.688,level,Stage,m
720763,0.68,level,Tidal Level,m
E21647,0.53,level,Stage,m
3280TH,1.926,level,Stage,mASD
48158,0.898,level,Stage,m
E22358,0.463,level,Stage,m
0710TH,2.052,level,Stage,mASD
F2311,0.201,level,Stage,m
680525,,level,Stage,---
4730TH,0.054,level,Stage,mASD
722421,1.337,level,Stage,m
E1435,0.3,level,Stage,mASD
2581TH,,level,Stage,mASD
L2309,0.811,level,Stage,m
4790TH,0.521,level,Stage,mASD
692419,0.342,level,Stage,m
2703TH,3.36,level,Downstream Stage,mASD
E9130,1.417,level,Stage,mASD
52124,3.051,level,Tidal Level,mAOD
4912TH,0.039,level,Stage,mASD
1799TH,3.318,level,Downstream Stage,mASD
693032,1.072,level,Stage,m
2666,0.394,level,Stage,mASD
E1560,0.306,level,Stage,mASD
1465TH,2.417,level,Stage,mASD
2001TH,,level,Stage,---
45209,0.483,level,Stage,m
E24819,1.485,level,Stage,mASD
531160,5.921,level,Stage,mASD
L1352,0.594,level,Stage,m
2629,,level,Stage,---
710305,1.652,level,Stage,m
742006,0.817,level,Stage,m
690120,0.43,level,Stage,m
52212,0.493,level,Stage,m
2258,0.573,level,Stage,mASD
712223,0.946,level,Stage,m
E1746,0.841,level,Stage,m
E140,0.624,level,Stage,mASD
L0233,0.342,level,Stage,m
50146,0.454,level,Stage,m
E24313,0.25,level,Stage,m
F1503,,level,Stage,---
L1538,,level,Stage,---
700515,0.312,level,Stage,m
53146,0.217,level,Stage,m
E22163,0.284,level,Stage,m
49170,0.221,level,Stage,m
E44566,1.618,level,Stage,mASD
4041,0.46,level,Stage,mASD
E1598,,level,Stage,mASD
E9900,9.463,level,Stage,mAOD
48186,-0.345,level,Stage,m
46133,0.858,level,Stage,m
F3505,,level,Stage,---
E61201,0.193,level,Stage,mASD
724836,0.61,level,Stage,m
49133,0.219,level,Stage,m
2140TH,-0.073,level,Downstream Stage,mASD
E1203,1.191,level,Stage,mASD
F2302,,level,Stage,---
1756TH,0.652,level,Stage,mASD
2239TH,0.094,level,Stage,mASD
730511,1.212,level,Stage,m
2269TH,,level,Downstream Stage,mASD
52152,2.722,level,Stage,mASD
5378TH,1.122,level,Stage,mASD
3650TH,0.365,level,Stage,mASD
3680TH,0.197,level,Stage,mASD
L2462,1.131,level,Stage,m
725139,1.446,level,Stage,m
52115,0.498,level,Stage,m
2898TH,1.357,level,Stage,mASD
E22697,0.295,level,Stage,m
4345TH,0.583,level,Stage,mASD
3100TH,,level,Stage,m
3892TH,0.264,level,Stage,mASD
F1902,,level,Stage,---
47118,,level,Stage,m
L3001,2.122,level,Tidal Level,mAOD
2401TH,1.042,level,Stage,mASD
E1997,1.263,level,Stage,mASD
765013,0.938,level,Stage,m
4159TH,0.067,level,Stage,mASD
2431TH,,level,Stage,m
50137,0.203,level,Stage,mASD
4189TH,-0.122,level,Downstream Stage,mASD
023041,-0.017,level,Stage,m
E22869,0.385,level,Stage,m
735328,1.012,level,Stage,m
0680TH,0.888,level,Stage,mASD
53137,0.505,level,Stage,m
44206,0.708,level,Stage,m
E8350,0.25,level,Stage,mASD
754016,0.667,level,Stage,m
1679TH,0.567,level,Stage,mASD
023004,0.911,level,Stage,m
4032,0.415,level,Stage,mASD
E22377,0.96,level,Stage,mASD
46124,1.192,level,Stage,m
L2105,1.08,level,Stage,m
E6520,1.249,level,Stage,mASD
49124,1.014,level,1,m
2275TH,0.064,level,Downstream Stage,mASD
E72139,0.229,level,Tidal Level,mAOD
E72124,3.449,level,Tidal Level,m
E9520,0.607,level,Stage,mAOD
2427TH,1.072,level,Stage,mASD
022999,-0.644,level,Tidal Level,mAOD
5080TH,0.327,level,Stage,mASD
43212,,level,1,m
0278TH,1.293,level,Stage,mASD
2091,1.447,level,Stage,mASD
E15350,0.135,level,Stage,mASD
E3966,0.59,level,Stage,mASD
022010,0.264,level,Stage,m
L1209,,level,Stage,---
45130,1.269,level,Stage,m
690510,1.572,level,Stage,m
2054,1.369,level,Stage,mASD
2648,0.457,level,Stage,mASD
0001,-1.321,level,Tidal Level,mAOD
0911TH,0.859,level,Stage,mASD
E71739,1.032,level,Tidal Level,mAOD
E71724,4.552,level,Tidal Level,m
2017,1.228,level,Stage,mASD
2420_w2TH,0.48,level,Stage,mASD
3235TH,2.91,level,Stage,mASD
F2108,0.781,level,Stage,m
700311,0.719,level,Stage,m
44109,,level,1,m
2513,1.022,level,Stage,mASD
1484TH,0.797,level,Stage,mASD
2020TH,,level,Stage,---
2904TH,,level,Downstream Stage,---
E12401,0.273,level,Stage,mASD
4195,0.237,level,Stage,mASD
1208TH,,level,Stage,---
1290_w1TH,0.449,level,Stage,mASD
E22897,0.269,level,Stage,m
L2008,,level,Stage,---
1238TH,1.283,level,Stage,mASD
51112,0.043,level,Stage,m
L0215,0.116,level,Stage,m
E1890,0.555,level,Stage,mASD
E2699,0.285,level,Stage,m
L0809,,level,Stage,---
4158,1.134,level,Stage,mASD
3079TH,0.158,level,Stage,mASD
4060,0.294,level,Stage,mASD
751007,1.46,level,Stage,m
2232TH,0.142,level,Stage,mASD
E2304,0.118,level,Stage,m
49152,0.05,level,Stage,m
E21657,0.931,level,Stage,m
43115,0.477,level,Stage,m
4023,0.688,level,Stage,mASD
0569TH,3.97,level,Stage,mASD
690450,0.355,level,Stage,m
1503TH,,level,Downstream Stage,---
L3934,,level,Stage,mAOD
46115,0.43,level,Stage,mASD
F2581,0.41,level,Stage,m
E210,,level,Stage,mAOD
E4222,0.271,level,Stage,m
L0303,26.582,level,Stage,mAOD
E4482,0.197,level,Stage,mASD
49115,0.422,level,Stage,m
E42124,1.188,level,Stage,mASD
2891TH,0.86,level,Stage,mASD
E60101,0.296,level,Stage,mASD
764010,0.73,level,Stage,m
3010TH,0.003,level,Crest Tapping,mASD
753050,1.062,level,Stage,m
E6140,0.675,level,Stage,mASD
L2221,0.229,level,Stage,m
3040TH,,level,Stage,V
E9140,,level,Stage,mAOD
1745TH,0.528,level,Stage,mASD
761706,0.663,level,Stage,m
E1310,0.2,level,Stage,mASD
E2119,0.486,level,Stage,mASD
022001,,level,Stage,---
0530TH,0.826,level,Stage,mASD
4098,4.111,level,Stage,mASD
E24829,0.544,level,Stage,mASD
45121,0.94,level,Stage,m
E21968,0.986,level,Stage,mASD
2639,0.602,level,Stage,mASD
024017,0.356,level,Stage,m
E1533,0.249,level,Stage,mASD
710315,0.396,level,Stage,m
48121,0.472,level,Stage,m
4182TH,0.983,level,Stage,mASD
47137,1.186,level,Stage,m
2887TH,,level,Stage,mASD
2008,1.638,level,Stage,mASD
50193,0.492,level,Stage,m
2268,0.428,level,Stage,mASD
L24001,,level,Stage,---
2170,,level,Stage,m3/s
L1821,0.604,level,Stage,m
762505,2.011,level,Stage,m
E24323,-0.417,level,Tidal Level,mAOD
4186,2.529,level,Stage,mASD
2133,0.384,level,Stage,mASD
51103,0.885,level,Tidal Level,mAOD
L0206,1.136,level,Stage,m
3635TH,0.867,level,Stage,mASD
50119,0.557,level,Stage,m
L3206,0.887,level,Stage,mAOD
023023,1.54,level,Stage,m
711610,1.173,level,Stage,m
53119,0.692,level,Stage,m
5112TH,0.568,level,Stage,mASD
45159,0.459,level,Stage,m
43106,0.446,level,Tidal Level,mAOD
4014,1.322,level,Stage,mASD
5172TH,1.29,level,Stage,mASD
2221,0.602,level,Stage,mASD
2602TH,,level,Downstream Stage,---
3115TH,0.49,level,Stage,mASD
L12010,,level,Stage,---
43231,2.608,level,Stage,m
E1696,0.356,level,Stage,mASD
E71039,-0.308,level,Tidal Level,mAOD
E71024,2.692,level,Tidal Level,m
L2806,6.338,level,Downstream Stage,mAOD
713120,0.572,level,Stage,m
52125,7.856,level,Stage,mAOD
2814TH,1.409,level,Stage,mASD
761103,0.688,level,Stage,m
E23019,0.096,level,Tidal Level,mAOD
4625TH,0.18,level,Stage,mASD
0020,-0.477,level,Tidal Level,mAOD
055013_TG_326,0.592,level,Stage,mASD
1201TH,,level,Stage,---
1993TH,1.891,level,Stage,mASD
2036,0.424,level,Stage,mASD
024008,,level,Stage,---
L2300,,level,Stage,---
47128,0.837,level,Stage,m
52213,1.646,level,Stage,mAOD
E21230,0.908,level,Stage,m
690715,0.442,level,Stage,m
53184,1.139,level,Stage,mASD
L1812,,level,Stage,---
50147,,level,Stage,m
4980TH,0.483,level,Stage,mASD
2124,0.386,level,Stage,mASD
53147,0.718,level,Stage,mASD
E11301,0.454,level,Stage,mASD
F2809,,level,Stage,---
44216,0.32,level,Stage,m
E8360,0.577,level,Stage,mASD
48187,0.151,level,Stage,m
E1835,1.207,level,Stage,mASD
49134,0.964,level,Downstream Stage,m
2251TH,0.778,level,Stage,mASD
730512,0.41,level,Stage,m
5390TH,5.828,level,Stage,mASD
5459TH,1.955,level,Stage,mASD
52153,3.317,level,Stage,mASD
E47061,0.828,level,Stage,mASD
E22832,0.326,level,Stage,m
L2203,1.416,level,Stage,m
E4427,0.265,level,Stage,mASD
2880TH,0.955,level,Stage,mASD
022020,0.462,level,Stage,m
L0410,,level,Stage,---
52116,1.21,level,Stage,m
L0670,0.177,level,Stage,m
45140,0.434,level,Stage,m
E21987,0.295,level,Stage,m
48140,0.626,level,Stage,m
L2922,4.288,level,Stage,mAOD
2027,0.648,level,Stage,mASD
F1903,1.359,level,Stage,m
E21852,1.306,level,Stage,mASD
E22563,0.394,level,Stage,m
47119,0.589,level,Stage,m
531115,7.963,level,Stage,mASD
52204,0.408,level,Stage,m
L1307,,level,Stage,---
2846TH,0.356,level,Stage,mASD
L1803,,level,Stage,---
023042,0.349,level,Stage,m
E15040,0.398,level,Tidal Level,mAOD
43162,0.645,level,Stage,m
3870TH,0.267,level,Stage,mASD
53138,0.162,level,Stage,m
F2206,2.174,level,Stage,m
44207,1.587,level,Stage,m
46162,0.872,level,1,m
4383TH,0.932,level,Stage,mASD
F2702,3.782,level,Stage,m
690200,0.32,level,Stage,m
43125,1.107,level,Stage,m
E1901,0.318,level,Stage,mASD
L0313,26.577,level,Stage,mAOD
E4826,0.271,level,Stage,mASD
L3313,,level,Stage,---
764020,1.037,level,Stage,m
L3907,,level,Stage,---
3806TH,0.348,level,Stage,mASD
0290TH,,level,Downstream Stage,---
4319TH,0.097,level,Stage,mASD
E9150,,level,Stage,mAOD
E2662,0.59,level,Stage,m
F1806,,level,Stage,---
43213,1.049,level,Stage,m
4121,0.39,level,Stage,mASD
2092,1.169,level,Stage,mASD
3104TH,5.138,level,Stage,mAOD
710102,1.332,level,Stage,m
E2129,0.407,level,Stage,m
5313TH,1.201,level,Stage,mASD
022011,0.241,level,Stage,m
52107,0.414,level,Stage,m
055040,0.365,level,Stage,mASD
45131,0.563,level,Stage,m
690511,,level,Stage,---
L3401,,level,Stage,---
024027,0.31,level,Stage,m
2803TH,-1.412,level,Stage,mASD
F3808,0.185,level,Stage,m
1922TH,0.342,level,Stage,mASD
1899TH,,level,Downstream Stage,---
690140,0.708,level,Stage,m
2435TH,0.842,level,Stage,mASD
2018,0.732,level,Stage,mASD
055002_TG_301,3.852,level,Stage,mASD
2180,2.793,level,Stage,mASD
2514,1.077,level,Stage,mASD
L1831,0.017,level,Stage,m
1090_w1TH,0.452,level,Stage,mASD
2495TH,,level,Downstream Stage,---
4196,0.829,level,Stage,mASD
L2009,0.835,level,Stage,m
3061TH,1.962,level,Stage,mASD
692119,,level,Stage,---
2700TH,3.742,level,Stage,mASD
5339TH,0.332,level,Stage,mASD
E70124,6.627,level,Tidal Level,m
1796TH,,level,Stage,mAOD
023033,,level,Stage,---
2279TH,,level,Stage,---
4061,1.586,level,Downstream Stage,mASD
53129,2.089,level,Stage,m
E72539,1.6,level,Tidal Level,mAOD
E72524,7.5,level,Tidal Level,m
E9920,3.027,level,Stage,mASD
49153,0.079,level,Stage,m
L0935,0.209,level,Stage,m
43116,0.375,level,Stage,m
4024,1.811,level,Stage,mASD
46116,0.568,level,Stage,mASD
F2322,0.541,level,Stage,m
E4483,0.208,level,Stage,mASD
49116,2.65,level,Tidal Level,mAOD
F1240,0.359,level,Stage,m
2210TH,0.272,level,Stage,mASD
3087TH,0.869,level,Stage,mASD
F1203,,level,Stage,---
3209TH,0.968,level,Stage,mASD
2083,0.294,level,Stage,mASD
F2508,0.241,level,Stage,m
E46059,0.312,level,Stage,mASD
E6600,0.344,level,Stage,mASD
47175,0.413,level,1,m
4099,3.414,level,Stage,mASD
45122,0.857,level,Stage,m
L1103,0.557,level,Stage,m
48122,0.701,level,Stage,m
E12430,0.477,level,Stage,mASD
2269,0.198,level,Stage,mASD
E1163,0.101,level,Stage,mASD
F2002,1.963,level,Stage,m
F0803,0.648,level,Stage,m
752020,1.445,level,Stage,m
E22889,0.836,level,Stage,m
45210,0.448,level,Stage,m
2134,3.571,level,Stage,mASD
51104,0.149,level,Stage,m
E2097,0.284,level,Stage,mASD
E6415,-0.832,level,Tidal Level,mAOD
L0703,1.337,level,Stage,m
023024,1.619,level,Stage,m
4052,0.856,level,Stage,mASD
E22137,0.289,level,Stage,mASD
E60501,0.734,level,Stage,mASD
2895TH,0.229,level,Downstream Stage,mASD
43107,,level,Stage,m
4015,1.252,level,Stage,mASD
4372TH,0.488,level,Stage,mASD
F2313,1.961,level,Stage,m
E41071,2.612,level,Stage,m
0898TH,,level,Downstream Stage,---
E15110,0.24,level,Tidal Level,mAOD
L1502,1.247,level,Stage,m
1100TH,1.227,level,Stage,mASD
744111,0.944,level,Stage,m
4186TH,0.891,level,Stage,mASD
52126,2.113,level,Stage,mASD
761104,1.576,level,Stage,m
E21737,0.164,level,Stage,m
E2273,0.318,level,Stage,mASD
021009,2.667,level,Stage,m
5302TH,0.4,level,Stage,mASD
024009,,level,Stage,---
E21862,0.515,level,Stage,mASD
E1191,0.652,level,Stage,mASD
48113,1.486,level,Tidal Level,m
F2290,0.539,level,Stage,m
47129,0.507,level,Stage,m
1911TH,1.622,level,Stage,mASD
780001,1.628,level,Stage,m
L1813,,level,Stage,---
693976,3.962,level,Stage,m
L0235,0.52,level,Stage,m
F3581,0.557,level,Stage,m
2125,0.736,level,Stage,mASD
4080,0.464,level,Stage,mASD
53148,0.207,level,Stage,m
F2216,0.664,level,Stage,m
1460_w2TH,0.032,level,Stage,mASD
44217,0.705,level,Stage,m
2621,0.468,level,Stage,mASD
4815TH,0.206,level,Stage,mASD
E861,0.66,level,Stage,mASD
4043,1.559,level,Stage,mASD
L1405,0.446,level,Stage,m
3080TH,,level,Stage,---
48188,0.334,level,Stage,m
E71439,0.88,level,Tidal Level,mAOD
E71424,2.9,level,Tidal Level,m
E21046,,level,Stage,mASD
681006,0.236,level,Stage,m
2298TH,2.503,level,Downstream Stage,mASD
3232TH,1.662,level,Stage,mASD
4006,1.591,level,Stage,mASD
055807_TG_320,,level,Logged,mASD
730513,0.501,level,Downstream Stage,m
L2241,0.241,level,Stage,m
2901TH,,level,Stage,---
52154,2.124,level,Stage,mASD
E21505,0.608,level,Stage,m
023103,0.954,level,Stage,m
E21765,0.147,level,Stage,m
4131,2.204,level,Stage,mASD
055027_TG_328,0.256,level,Stage,mASD
L0509,,level,Stage,---
E22712,0.48,level,Stage,m
055L010SG,0.622,level,Stage,mASD
E4330,0.603,level,Stage,mASD
52117,1.086,level,Stage,m
E24255,,level,Stage,mASD
021037,,level,Stage,---
0904TH,,level,Downstream Stage,---
45141,0.642,level,Stage,m
L3411,0.598,level,Stage,mAOD
4040TH,0.911,level,Stage,mASD
F0103,0.653,level,Stage,m
4070TH,0.796,level,Stage,mASD
E19035,0.284,level,Stage,mASD
E2500,1.382,level,Tidal Level,mASD
690150,,level,Stage,---
765052,0.95,level,Stage,m
E12412,1.707,level,Stage,mASD
2927TH,0.765,level,Stage,mASD
531116,0.879,level,Stage,m
52205,0.796,level,Stage,m
E21222,0.169,level,Stage,m
L1308,0.721,level,Stage,m
2153,3.131,level,Stage,mASD
760101,0.905,level,Stage,m
50139,0.257,level,Stage,mASD
E21445,0.762,level,Stage,m
4071,0.748,level,Stage,mASD
53139,0.218,level,Stage,m
E9930,1.594,level,Stage,mAOD
44208,71.282,level,Groundwater,mAOD
5364TH,1.073,level,Downstream Stage,mASD
2872,,level,Stage,---
44110,0.313,level,Stage,m
E21408,0.312,level,Stage,m
023006,,level,Stage,---
F1385,0.174,level,Stage,m
690201,0.437,level,Stage,m
43126,0.311,level,Stage,m
46126,0.845,level,Stage,m
L2107,,level,Stage,---
5546TH,1.193,level,Stage,mASD
2884TH,,level,Stage,mASD
0311TH,1.051,level,Stage,mASD
L3314,,level,Stage,mAOD
L08013,0.888,level,Stage,m
2550TH,0.134,level,Stage,mASD
744130,1.056,level,Stage,m
52145,2.105,level,Sump Level,mASD
43214,0.842,level,Stage,m
2093,0.78,level,Stage,mASD
022012,1.04,level,Stage,m
724323,1.542,level,Stage,m
E4321,0.227,level,Stage,mASD
E14270,0.819,level,Stage,mASD
055018_TG_327,0.541,level,Stage,mASD
52108,0.653,level,Stage,m
0155TH,1.538,level,Stage,mASD
45132,,level,Stage,m
L1113,0.373,level,Stage,m
L1707,,level,Stage,---
0003,-1.273,level,Tidal Level,mAOD
712615,1.44,level,Stage,m
1635TH,2.205,level,Stage,mASD
F1301,2.221,level,Stage,m
4327TH,-27.647,level,Stage,mASD
681210,1.535,level,Stage,m
L24012,1.839,level,Stage,mAOD
2515,0.185,level,Stage,mASD
1301TH,,level,Stage,---
531107,0.205,level,Stage,m
4197,0.448,level,Stage,mASD
45220,0.969,level,Stage,m
E24830,1.303,level,Stage,mASD
E22518,0.261,level,Stage,m
E22778,0.34,level,Stage,m
1930TH,1.797,level,Stage,mASD
2107,0.972,level,Stage,mASD
E22147,1.842,level,Stage,m
46154,0.818,level,Tidal Level,mAOD
2603,,level,Stage,V
1990TH,2.231,level,Stage,mASD
2473TH,0.923,level,Stage,mASD
43117,0.579,level,Stage,m
L08041,0.324,level,Stage,m
46117,0.729,level,Stage,m
49117,0.347,level,Stage,m
2655TH,0.119,level,Stage,mASD
E12380,,level,Stage,mASD
692370,0.619,level,Stage,m
765850,0.528,level,Stage,m
50120,0.852,level,Stage,m
53120,2.042,level,2,m
720107,0.99,level,Stage,m
2807TH,0.28,level,Stage,mASD
2409TH,0.34,level,Stage,mASD
E21747,2.002,level,Stage,mASD
690540,,level,Stage,m
2084,0.18,level,Stage,mASD
E22815,0.826,level,Stage,m
2320,3.123,level,Stage,mASD
48160,2.135,level,Tidal Level,mAOD
