stationReference,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,dryvalue,dryvaluemax,dryvaluemin,wetvalue,wetvaluemax,wetvaluemin,qualifier,parameter
2639,Dutlas,52.394857,-3.160345,2.535,0.001,0.6000000000000001,0.024,0.2501249999999999,0.264,0.234,0.12,0.12,0.12,['Stage'],['levelASD']
2641,Wightwick,52.582389,-2.192192,1.334,0.188,0.406,0.197,0.051697916666666656,0.055,0.05,0.277,0.277,0.277,['Stage'],['levelASD']
2642,Worcester (Barbourne),52.206967,-2.235272,5.791,0.487,3.35,0.548,0.6685520833333336,0.707,0.645,0.779,0.779,0.779,['Stage'],['levelASD']
2644,Sandhurst Horn's Ditch,51.888033,-2.253216,3.927,-0.031,1.5,0.1,0.11926041666666665,0.266,0.056,0.116,0.116,0.116,['Stage'],['levelASD']
2646,Stanford Bridge,52.28899,-2.418688,6.075,0.151,1.367,0.221,0.33797916666666644,0.354,0.321,0.408,0.408,0.408,['Stage'],['levelASD']
2648,Toddington,51.999754,-1.952083,1.744,0.29,0.53,0.31,0.3320937499999999,0.335,0.33,0.352,0.352,0.352,['Stage'],['levelASD']
2649,Clay Coton,52.387107,-1.128914,2.4130000000000003,0.002,1.36,0.031,0.24515624999999985,0.254,0.239,0.188,0.188,0.188,['Stage'],['levelASD']
2650,Arle,51.91358,-2.100884,2.976,0.109,0.662,0.343,0.451729166666667,0.458,0.445,0.468,0.468,0.468,['Stage'],['levelASD']
2653,Merestones Road,51.88594,-2.093645,2.75,0.04,0.32,0.08,0.03069791666666662,0.033,0.029,0.06,0.06,0.06,['Stage'],['levelASD']
2654,Cox's Flume,51.889602,-2.062354,2.167,0.176,1.3,0.24,0.32696875000000025,0.333,0.321,0.3,0.3,0.3,['Stage'],['levelASD']
2655TH,Raymill Road,51.528985,-0.716959,1.467,0.13,1.3,0.161,-0.007625000000000006,-0.003,-0.017,0.039,0.039,0.039,['Stage'],['levelASD']
2660,Prestbury Road,51.907359,-2.061419,0.32,0.0,0.05,0.0,0.00457291666666667,0.005,0.004,0.063,0.063,0.063,['Stage'],['levelASD']
2661,Witcombe,51.840037,-2.142115,1.757,0.337,0.356,0.113,-0.0033125000000000025,-0.003,-0.004,-0.014,-0.014,-0.014,['Stage'],['levelASD']
2662,Abbeymead Avenue,51.840929,-2.202237,1.289,0.046,0.265,0.081,0.11318750000000007,0.116,0.11,0.138,0.138,0.138,['Stage'],['levelASD']
2666,Matson Place,51.85211,-2.233328,,,,,0.1796458333333331,0.182,0.177,,,,[],[]
2667,Bondend Road,51.834606,-2.193371,1.55,0.183,1.5,0.216,0.2369166666666667,0.24,0.235,0.276,0.276,0.276,['Stage'],['levelASD']
2669,Shifnal,52.67455,-2.379329,1.194,0.096,0.24,0.116,0.13621875,0.144,0.128,0.177,0.177,0.177,['Stage'],['levelASD']
2670,Saintbridge,51.848419,-2.217412,4.5,-0.107,0.042,-0.006,-0.002229166666666667,0.004,-0.022,0.002,0.002,0.002,['Stage'],['levelASD']
2671,Moorend Road,51.883138,-2.061691,1.737,0.27,0.49,0.3,0.35529411764705887,0.356,0.355,0.255,0.255,0.255,['Stage'],['levelASD']
2694TH,The Binghams,51.506197,-0.710164,2.038,0.748,1.71,0.776,0.9515729166666661,0.966,0.927,0.997,0.997,0.997,['Stage'],['levelASD']
2698TH,Romney Lock,51.491873,-0.604104,1.259,-0.195,0.5,0.096,0.10286458333333333,0.157,0.03,0.147,0.147,0.147,['Stage'],['levelASD']
2700,Abbey Mill GATE,51.991326,-2.162837,,,,,9.786802083333336,9.809,9.769,,,,[],[]
2700TH,Windsor Park,51.485795,-0.589124,5.724,-0.079,4.25,3.22,3.3684583333333347,3.391,3.339,3.265,3.265,3.265,['Stage'],['levelASD']
2702TH,Bell Weir,51.438166,-0.537257,1.335,-0.067,0.3,0.08,0.18357291666666675,0.246,0.149,0.186,0.186,0.186,['Stage'],['levelASD']
2703TH,Old Windsor Lock,51.463198,-0.569077,1.941,-0.404,0.349,0.096,0.25017708333333327,0.272,0.177,0.193,0.193,0.193,['Stage'],['levelASD']
2705,Church Stretton,52.5405,-2.801605,0.59,-0.06,0.35,0.02,0.05296874999999999,0.07,0.04,0.009,0.009,0.009,['Stage'],['levelASD']
2706,Wombourne LVL,52.531154,-2.204277,,,,,0.3125208333333332,0.338,0.294,0.344,0.344,0.344,['Stage'],['levelASD']
2711,Sedgeberrow,52.04668,-1.963362,3.602,0.23,2.1,0.29,0.3220833333333335,0.325,0.317,0.342,0.342,0.342,['Stage'],['levelASD']
2802TH,Waxwell Lane,51.602909,-0.384264,1.173,0.073,1.0,0.148,0.18818749999999995,0.191,0.187,0.193,0.193,0.193,['Stage'],['levelASD']
2803TH,"Pinner, Avenue Road",51.597129,-0.381769,1.062,-0.033,1.2,0.025,0.14776041666666664,0.158,0.138,0.234,0.234,0.234,['Stage'],['levelASD']
2804TH,"Pinner, Eastcote Road",51.589297,-0.381167,2.537,0.115,1.2,0.288,0.37531249999999977,0.378,0.372,0.39,0.39,0.39,['Stage'],['levelASD']
2805TH,"Howletts Lane, Ruislip (Temporary)",51.58453,-0.439448,1.049,0.023,0.8200000000000001,0.023,0.2536250000000002,0.255,0.253,0.135,0.135,0.135,['Stage'],['levelASD']
2807TH,Ruislip,51.58043,-0.426065,1.833,0.13,1.2,0.136,0.16380208333333324,0.166,0.163,0.175,0.175,0.175,['Stage'],['levelASD']
2808TH,Radlett,51.682315,-0.315607,1.602,0.006,1.574,0.3,0.436145833333333,0.45,0.413,0.403,0.403,0.403,['Stage'],['levelASD']
2809TH,Mimmshall Brook,51.706896,-0.217824,1.799,0.904,1.8,0.151,0.29358333333333364,0.299,0.289,0.25,0.25,0.25,['Stage'],['levelASD']
2810TH,North Mymms,51.718066,-0.219123,2.351,-0.171,1.5,0.046,0.2692604166666665,0.273,0.266,0.246,0.246,0.246,['Stage'],['levelASD']
2813TH,Markyate,51.838108,-0.461149,0.62,0.0,1.08,-0.018,0.011270833333333332,0.012,0.011,0.002,0.002,0.002,['Stage'],['levelASD']
2814TH,London Colney,51.719476,-0.289861,2.722,0.747,1.85,0.939,1.1229999999999996,1.133,1.12,1.092,1.092,1.092,['Stage'],['levelASD']
2815TH,Redbourn,51.794792,-0.393076,0.754,-0.228,0.6000000000000001,-0.138,0.12042708333333325,0.121,0.119,0.221,0.221,0.221,['Stage'],['levelASD']
2816TH,Redbourn,51.793132,-0.396615,0.994,-0.601,0.8,-0.247,0.057781249999999985,0.058,0.057,0.11,0.11,0.11,['Stage'],['levelASD']
2819TH,Colney Street,51.704664,-0.336052,0.56,0.002,0.539,0.064,0.21684374999999992,0.219,0.214,0.294,0.294,0.294,['Stage'],['levelASD']
2821TH,Borehamwood,51.668568,-0.287687,2.19,0.8240000000000001,1.8,0.8270000000000001,0.8603333333333333,0.863,0.858,0.87,0.87,0.87,['Stage'],['levelASD']
2830,Hayes Basin,52.735118,-2.960681,4.13,0.96,0.97,0.91,0.9777499999999982,0.979,0.977,0.984,0.984,0.984,['Stage'],['levelASD']
2830TH,Watford,51.670654,-0.380235,1.69,0.014,0.8190000000000001,0.12,0.2406041666666663,0.243,0.239,0.274,0.274,0.274,['Stage'],['levelASD']
2831,Cae Howel,52.74738,-2.971662,6.265,0.893,4.779,0.933,0.9505104166666682,0.951,0.95,0.934,0.934,0.934,['Stage'],['levelASD']
2832,Maesbrook,52.779686,-3.037866,1.754,0.073,1.26,0.105,0.082375,0.083,0.082,0.251,0.251,0.251,['Stage'],['levelASD']
2833,Cae Howel,52.747481,-2.972523,,,,,0.9320000000000012,0.932,0.932,,,,[],[]
2841TH,"Hemel Hempstead, Bury Mill",51.757619,-0.475391,0.6950000000000001,0.013,0.8300000000000001,0.066,0.20867708333333299,0.21,0.207,0.36,0.36,0.36,['Stage'],['levelASD']
2844TH,"Hemel Hempstead, Old Fishery Lane",51.744674,-0.49654,1.798,0.539,1.99,0.639,0.7103958333333328,0.753,0.677,0.837,0.837,0.837,['Stage'],['levelASD']
2846TH,"Hemel Hempstead, Two Waters Road",51.741057,-0.47337,1.188,0.085,0.75,0.205,0.3049374999999999,0.357,0.281,0.486,0.486,0.486,['Stage'],['levelASD']
2849TH,Croxley Green,51.645553,-0.436992,0.418,0.025,1.3,0.073,0.1053541666666668,0.115,0.092,0.153,0.153,0.153,['Stage'],['levelASD']
2852TH,Chesham,51.702625,-0.614039,0.678,0.295,0.7000000000000001,0.256,0.40092708333333277,0.403,0.399,0.465,0.465,0.465,['Stage'],['levelASD']
2854TH,Braybourne Close FD,51.553414,-0.479617,,,,,0.1983125,0.209,0.188,0.22,0.22,0.22,['Stage'],['levelASD']
2859TH,Rickmansworth,51.641989,-0.46125,0.368,0.037,0.39,0.059,0.10237500000000005,0.105,0.1,0.173,0.173,0.173,['Stage'],['levelASD']
2862TH,Moor Lane,51.635575,-0.443997,8.23,7.26,7.94,7.37,7.497135416666669,7.506,7.489,7.529,7.529,7.529,['Stage'],['levelASD']
2870TH,Denham Colne,51.56631,-0.483905,0.608,0.052,0.56,0.11,0.18885416666666674,0.202,0.17,0.261,0.261,0.261,['Stage'],['levelASD']
2872,Perdiswell,52.217941,-2.213213,7.276,0.779,2.4,0.874,0.44081250000000005,0.441,0.438,0.45,0.45,0.45,['Stage'],['levelASD']
2873TH,Missenden,51.677124,-0.650282,0.459,-0.149,0.5,0.044,0.14797916666666674,0.154,0.144,0.262,0.262,0.262,['Stage'],['levelASD']
2879_w1TH,Denham Lodge,51.567599,-0.49112,0.465,0.002,0.6000000000000001,0.035,0.09181249999999996,0.094,0.09,0.124,0.124,0.124,['Stage'],['levelASD']
2879_w2TH,Denham Lodge,51.569085,-0.489873,,,,,0.14994791666666663,0.154,0.147,0.08,0.08,0.08,['Stage'],['levelASD']
2880TH,Willowbank,51.559236,-0.484082,1.287,0.871,1.2,0.803,0.946197916666666,0.955,0.93,1.003,1.003,1.003,['Stage'],['levelASD']
2881TH,"Uxbridge, Fountains Mill",51.549497,-0.482704,2.108,0.076,1.77,0.589,0.6522083333333338,0.656,0.649,0.628,0.628,0.628,['Stage'],['levelASD']
2882TH,"Iver, Clisbys Bridge",51.529235,-0.488741,1.402,0.211,0.8,0.274,0.4300000000000001,0.449,0.406,0.494,0.494,0.494,['Stage'],['levelASD']
2883TH,Farlows Bridge,51.518153,-0.498245,1.31,0.137,1.06,0.224,0.4152291666666666,0.439,0.395,0.516,0.516,0.516,['Stage'],['levelASD']
2884,Burlington Weir LVL,52.695461,-2.324363,,,,,0.10372916666666682,0.106,0.101,0.082,0.082,0.082,['Stage'],['levelASD']
2885TH,West Drayton,51.500923,-0.482762,0.771,0.324,1.0,0.389,0.45670833333333377,0.463,0.45,0.485,0.485,0.485,['Stage'],['levelASD']
2886TH,"Pinner, Moss Close",51.598796,-0.376829,0.977,0.058,0.94,0.175,0.13498958333333333,0.142,0.129,0.18,0.18,0.18,['Stage'],['levelASD']
2887TH,"Ickenham, Swakeleys Road",51.565274,-0.452775,1.962,0.461,1.5,0.557,0.602479166666667,0.604,0.601,0.584,0.584,0.584,['Stage'],['levelASD']
2888TH,"Uxbridge, Hercies Road",51.547893,-0.46447,3.782,0.403,1.7000000000000002,0.6910000000000001,0.7571354166666665,0.759,0.755,0.754,0.754,0.754,['Stage'],['levelASD']
2889TH,Uxbridge,51.533611,-0.47115,1.885,0.004,1.0,0.037,0.08182291666666677,0.084,0.08,0.084,0.084,0.084,['Stage'],['levelASD']
2891TH,Yiewsley,51.509078,-0.47713,1.2,0.615,2.0,0.74,0.8002916666666667,0.804,0.797,0.817,0.817,0.817,['Stage'],['levelASD']
2892TH,Poyle,51.477287,-0.51406,2.527,1.445,1.8,0.101,1.5966979166666666,1.604,1.588,1.659,1.659,1.659,['Stage'],['levelASD']
2893TH,Stanwell Mill,51.466242,-0.501779,1.236,0.125,1.12,0.21,0.6875833333333335,0.697,0.678,0.711,0.711,0.711,['Stage'],['levelASD']
2894TH,Hythe End,51.440219,-0.535292,3.324,0.305,2.2,0.43,0.5570937499999994,0.599,0.536,0.615,0.615,0.615,['Stage'],['levelASD']
2895TH,Staines Moor,51.45237,-0.520468,0.889,0.022,0.53,0.055,0.12410416666666657,0.129,0.118,0.148,0.148,0.148,['Stage'],['levelASD']
2896TH,"Pound Mill, Staines",51.43615,-0.514892,0.847,0.014,0.84,0.059,0.1386666666666667,0.152,-0.136,0.155,0.155,0.155,['Stage'],['levelASD']
2897BTH,Horton Mill,51.47174,-0.53123,0.405,0.076,0.42,0.12,-18.600302083333336,-18.589,-18.613,-18.503,-18.503,-18.503,['Stage'],['levelASD']
2898,Wildmoor Flume,52.369692,-2.062663,0.729,0.0,0.273,0.085,-0.1919687500000001,-0.191,-0.192,0.156,0.156,0.156,['Stage'],['levelASD']
2898TH,Staines Trading Estate,51.437123,-0.512241,1.717,1.024,2.0,1.133,1.2573333333333332,1.264,1.246,1.269,1.269,1.269,['Stage'],['levelASD']
2900,Walton,52.176016,-1.583205,3.492,0.111,1.38,0.189,0.2339375000000001,0.239,0.227,0.285,0.285,0.285,['Stage'],['levelASD']
2900TH,Staines,51.431611,-0.512248,4.955,0.414,4.0,2.7,2.7991250000000005,2.849,2.776,2.748,2.748,2.748,['Stage'],['levelASD']
2901TH,Penton Hook,51.414528,-0.499731,1.401,-0.183,0.3,0.076,0.22371875,0.274,0.202,0.166,0.166,0.166,['Stage'],['levelASD']
2902TH,Chertsey Lock,51.390617,-0.48637,1.316,-0.084,0.402,0.131,0.21016666666666672,0.247,0.193,0.208,0.208,0.208,['Stage'],['levelASD']
2904TH,Shepperton Lock,51.382892,-0.458071,1.121,-0.16,0.3,0.076,0.16090625000000006,0.212,0.11,0.212,0.212,0.212,['Stage'],['levelASD']
2915,Eckington Sluice,52.062065,-2.124922,4.16,1.584,2.6,1.789,2.0360520833333333,2.061,2.004,2.084,2.084,2.084,['Stage'],['levelASD']
2927TH,Trumps Green,51.399312,-0.56131,2.073,0.615,1.7000000000000002,0.706,0.7933749999999996,0.796,0.791,0.795,0.795,0.795,['Stage'],['levelASD']
2928TH,Chertsey Bourne,51.402823,-0.539779,2.165,13.32,1.06,0.4,0.5732395833333331,0.631,0.504,0.543,0.543,0.543,['Stage'],['levelASD']
2935TH,Norlands Lane,51.410875,-0.515797,1.6800000000000002,-0.02,1.1,0.3,0.406520833333333,0.41,0.403,0.44,0.44,0.44,['Stage'],['levelASD']
2936TH,Guildford Street,51.389272,-0.506291,1.783,0.278,1.5,0.3,0.48787499999999967,0.507,0.474,0.467,0.467,0.467,['Stage'],['levelASD']
2937TH,Free Prae Road,51.386331,-0.501357,2.626,0.425,1.6,0.72,1.0376354166666664,1.075,0.98,1.027,1.027,1.027,['Stage'],['levelASD']
2941TH,Bagshot,51.361518,-0.689296,1.653,0.4,1.35,0.4,0.5539583333333332,0.558,0.548,0.534,0.534,0.534,['Stage'],['levelASD']
2966TH,Millbourne Bridge,51.349005,-0.602519,2.725,0.845,1.54,0.915,0.9342812499999997,0.943,0.927,0.929,0.929,0.929,['Stage'],['levelASD']
2976TH,Grants Bridge,51.344527,-0.604091,2.496,0.244,1.55,0.326,0.3616145833333333,0.367,0.355,0.353,0.353,0.353,['Stage'],['levelASD']
2989TH,Addlestone,51.374167,-0.478479,1.979,0.672,0.9,0.313,0.38619791666666686,0.4,0.378,0.373,0.373,0.373,['Stage'],['levelASD']
3010TH,Alton High Street,51.149557,-0.976568,,,,,0.056869791666666815,0.085,0.03,0.148,0.148,0.148,['Crest Tapping'],['levelASD']
3012TH,Kings Pond,51.150372,-0.96697,0.562,-0.198,0.5,0.0,0.11896875000000001,0.18,0.101,0.147,0.147,0.147,['Stage'],['levelASD']
3015TH,Caker Stream,51.140148,-0.959908,1.343,-0.306,0.52,0.0,0.10111458333333333,0.106,0.096,0.058,0.058,0.058,['Stage'],['levelASD']
3020TH,Farnham,51.209424,-0.803594,1.27,0.023,0.97,0.046,0.1856458333333332,0.19,0.181,0.192,0.192,0.192,['Stage'],['levelASD']
3028TH,Passfield Mill,51.101202,-0.825956,1.714,0.771,1.28,0.798,0.9659166666666666,0.978,0.954,0.958,0.958,0.958,['Stage'],['levelASD']
3029TH,Wey (South) at Huntingford Bridge,51.14197,-0.824708,,,,,0.7114791666666669,0.72,0.706,0.709,0.709,0.709,['Stage'],['levelASD']
3040TH,Tilford,51.181979,-0.750222,2.086,0.099,1.4,0.139,0.22563541666666673,0.232,0.222,0.231,0.231,0.231,['Stage'],['levelASD']
3054TH,Westbrook Mill,51.188851,-0.617671,2.586,1.171,2.5,1.75,1.866697916666667,1.948,0.248,1.937,1.937,1.937,['Stage'],['levelASD']
3056TH,Godalming RL,51.192355,-0.598504,,,,,0.6805833333333333,0.7,0.653,0.643,0.643,0.643,['Stage'],['levelASD']
3057TH,River Wey at Unstead Sluice,51.19848,-0.584392,,,,,4.326437499999998,4.39,4.262,4.336,4.336,4.336,['Stage'],['levelASD']
3061TH,Flash Bridge,51.121978,-0.510356,3.95,0.881,3.0,0.958,1.3823645833333333,1.398,1.373,1.045,1.045,1.045,['Stage'],['levelASD']
3065TH,Cranleigh,51.142186,-0.480399,3.378,1.204,2.33,1.229,1.295156250000002,1.297,1.293,1.436,1.436,1.436,['Stage'],['levelASD']
3069TH,Bramley,51.206896,-0.57032,3.994,1.82,3.2,2.11,2.1836354166666676,2.235,2.151,2.23,2.23,2.23,['Stage'],['levelASD']
3073TH,Burpham,51.264494,-0.544883,2.089,0.768,1.059,0.841,0.8458958333333332,0.877,0.806,0.878,0.878,0.878,['Stage'],['levelASD']
3074TH,Albury,51.210841,-0.504627,0.339,0.03,0.293,0.054,0.08642708333333338,0.088,0.084,0.081,0.081,0.081,['Stage'],['levelASD']
3075TH,Send,51.287835,-0.505999,1.761,0.791,2.724,0.805,0.8270520833333331,0.831,0.821,0.824,0.824,0.824,['Stage'],['levelASD']
3078TH,Hoe Stream at Woking,51.306994,-0.537112,,,,,0.7779479166666672,0.791,0.767,0.754,0.754,0.754,['Stage'],['levelASD']
3079TH,Shalford,51.220824,-0.569459,1.158,0.063,0.526,0.088,0.11899999999999981,0.119,0.119,0.133,0.133,0.133,['Stage'],['levelASD']
3080TH,Guildford,51.236036,-0.578011,3.884,0.804,2.6,1.1,1.2854791666666672,1.322,1.2,1.294,1.294,1.294,['Stage'],['levelASD']
3085TH,Old Woking,51.302063,-0.543308,3.94,1.0,3.2,1.0,2.2554791666666674,2.279,2.196,2.076,2.076,2.076,['Stage'],['levelASD']
3087TH,Woking South,51.294424,-0.57291,2.22,0.22,1.5,0.298,0.44802083333333376,0.46,0.439,0.446,0.446,0.446,['Stage'],['levelASD']
3089TH,Brooklands,51.346115,-0.465049,4.038,0.082,2.24,0.238,0.4899374999999999,0.497,0.48,0.477,0.477,0.477,['Stage'],['levelASD']
3090TH,Weybridge,51.37248,-0.466322,1.934,0.792,1.4,0.96,0.9871875000000007,1.044,0.949,0.997,0.997,0.997,['Stage'],['levelASD']
3100TH,Walton,51.3919,-0.421389,4.398,-0.026,3.6,3.0,3.0831770833333327,3.116,3.061,3.268,3.268,3.268,['Stage'],['levelASD']
3101SE,Easton,51.088829,-1.2729,1.455,0.0,1.1,0.511,0.7705520833333338,0.776,0.763,0.707,0.707,0.707,['Stage'],['levelASD']
3101TH,Sunbury  Lock,51.399708,-0.4156,0.916,-0.168,0.3,0.055,0.25556249999999997,0.291,0.215,0.142,0.142,0.142,['Stage'],['levelASD']
3102TH,Molesey Lock,51.406476,-0.349558,1.029,-0.126,0.295,0.05,0.2117916666666667,0.24,0.173,0.193,0.193,0.193,['Stage'],['levelASD']
3110TH,Staines Ash,51.440376,-0.512035,0.367,0.023,0.5,0.048,0.07896874999999999,0.083,0.072,0.081,0.081,0.081,['Stage'],['levelASD']
3115TH,Knowle Green,51.430935,-0.496618,1.158,0.282,0.85,0.371,0.4851979166666662,0.487,0.483,0.508,0.508,0.508,['Stage'],['levelASD']
3207TH,Ifield,51.11607,-0.222649,2.513,0.666,2.37,0.729,0.8357395833333342,0.839,0.833,0.804,0.804,0.804,['Stage'],['levelASD']
3209TH,Stafford Bridge,51.130927,-0.213274,2.547,0.61,2.977,0.625,0.6812812499999993,0.688,0.677,0.657,0.657,0.657,['Stage'],['levelASD']
3210TH,Gatwick Airport,51.144764,-0.19953,2.54,0.108,2.1,0.179,0.3267500000000004,0.337,0.32,0.288,0.288,0.288,['Stage'],['levelASD']
3219TH,Crawley FWS,51.102235,-0.173972,,,,,0.20398958333333309,0.206,0.201,0.203,0.203,0.203,['Stage'],['levelASD']
3223TH,Maidenbower,51.110238,-0.153871,2.985,0.526,2.535,0.605,0.770395833333334,0.776,0.766,0.729,0.729,0.729,['Stage'],['levelASD']
3225TH,Three Bridges,51.116941,-0.162605,3.259,-1.273,3.06,0.198,0.5498749999999999,0.562,0.53,0.543,0.543,0.543,['Stage'],['levelASD']
3229TH,Gatwick Link,51.160212,-0.163604,2.173,0.013,1.6,0.075,0.13469791666666672,0.169,0.094,0.116,0.116,0.116,['Stage'],['levelASD']
3230TH,Horley,51.173918,-0.18323,3.444,0.003,2.42,0.189,0.4120208333333333,0.446,0.354,0.459,0.459,0.459,['Stage'],['levelASD']
3232TH,Peeks Brook Lane,51.161389,-0.135668,2.901,0.0,2.65,0.748,1.12790625,1.132,1.119,1.098,1.098,1.098,['Stage'],['levelASD']
3235TH,Bonehurst Bridge,51.186743,-0.163694,4.465,1.21,3.7,1.398,1.9483333333333321,1.965,1.939,1.765,1.765,1.765,['Stage'],['levelASD']
3240TH,Kinnersley Manor,51.201071,-0.194473,3.501,0.043,2.14,0.123,0.22877083333333362,0.25,0.207,0.23,0.23,0.23,['Stage'],['levelASD']
3245TH,Redhill,51.239844,-0.166451,2.461,-0.053,2.0,0.493,0.5349687499999997,0.543,0.526,0.619,0.619,0.619,['Stage'],['levelASD']
3247TH,Salfords Bridge,51.204792,-0.1677,3.05,-0.044,2.4,0.183,0.43347916666666647,0.453,0.419,0.395,0.395,0.395,['Stage'],['levelASD']
3269TH,Brockham FWS,51.233732,-0.288379,,,,,0.4139895833333335,0.432,0.395,0.397,0.397,0.397,['Stage'],['levelASD']
3270TH,Dorking,51.238425,-0.311198,2.735,0.026,1.6,0.091,0.1686874999999999,0.181,0.155,0.169,0.169,0.169,['Stage'],['levelASD']
3280TH,Leatherhead,51.294985,-0.336089,3.735,0.632,2.61,1.006,1.2204687499999993,1.232,1.197,1.208,1.208,1.208,['Stage'],['levelASD']
3286TH,Downside Bridge,51.323836,-0.41269,3.46,0.877,2.7,1.012,1.173750000000001,1.198,1.15,1.155,1.155,1.155,['Stage'],['levelASD']
3290TH,Esher,51.381714,-0.377493,3.24,0.526,4.32,1.272,1.6766145833333337,1.693,1.669,1.595,1.595,1.595,['Stage'],['levelASD']
3345TH,Bourne Hall Ponds at Ewell,51.350352,-0.250864,,,,,0.11450000000000021,0.116,0.113,0.171,0.171,0.171,['Stage'],['levelASD']
3346TH,King Charles Road FWS,51.386523,-0.291294,,,,,0.05154166666666668,0.057,0.048,0.039,0.039,0.039,['Stage'],['levelASD']
3350TH,Ewell,51.355767,-0.255182,0.802,0.011,1.035,0.026,0.20932291666666678,0.211,0.208,0.383,0.383,0.383,['Stage'],['levelASD']
3369TH,Worcester Road,51.375687,-0.264339,2.087,0.8320000000000001,3.0,0.892,1.1013437499999998,1.104,1.098,0.988,0.988,0.988,['Stage'],['levelASD']
3390TH,Kingston Hogsmill,51.405736,-0.302166,1.225,0.024,0.9,0.106,0.18695833333333337,0.239,0.117,0.222,0.222,0.222,['Stage'],['levelASD']
3401TH,Teddington Lock,51.429566,-0.318416,1.197,-0.3,0.217,0.009,0.13827083333333332,0.225,0.105,0.096,0.096,0.096,['Stage'],['levelASD']
3422SO,Whitchurch Main,51.22819,-1.338347,0.411,0.001,0.35,0.02,0.08963541666666668,0.096,0.086,0.231,0.231,0.231,['Stage'],['levelASD']
3423SO,Whitchurch Side,51.229107,-1.338319,0.425,0.001,0.4,0.02,0.09030208333333335,0.092,0.089,0.244,0.244,0.244,['Stage'],['levelASD']
3609TH,"Harrow, Village Way",51.57755,-0.380271,1.263,-0.02,1.185,0.064,0.08713541666666673,0.096,0.085,0.106,0.106,0.106,['Stage'],['levelASD']
3625TH,"Hillingdon, Gutteridge Wood",51.547719,-0.420185,2.013,-0.004,2.3,0.078,0.11271875000000002,0.116,0.111,0.138,0.138,0.138,['Stage'],['levelASD']
3626TH,"Harrow, Thistledene Avenue",51.561936,-0.379325,1.431,-0.157,1.1,0.012,0.017322916666666664,0.019,0.016,0.019,0.019,0.019,['Stage'],['levelASD']
3629TH,"Northholt, Yeading East",51.548783,-0.397836,0.792,-0.037,0.65,0.033,0.04135416666666663,0.042,0.041,0.044,0.044,0.044,['Stage'],['levelASD']
3635TH,"Hillingdon, Charville Lane",51.541775,-0.418198,2.363,0.11,2.55,0.162,0.5201562499999999,0.531,0.516,0.463,0.463,0.463,['Stage'],['levelASD']
3650TH,"Yeading, Brookside Road",51.518702,-0.391757,1.364,0.094,2.34,0.115,0.13451041666666663,0.137,0.132,0.146,0.146,0.146,['Stage'],['levelASD']
3660TH,Cranford Park,51.488753,-0.412558,1.261,0.028,1.1,0.056,0.06309375,0.066,0.06,0.078,0.078,0.078,['Stage'],['levelASD']
3680TH,Marsh Farm,51.448604,-0.339937,0.956,-0.017,1.55,0.018,0.07946875000000005,0.087,0.075,0.116,0.116,0.116,['Stage'],['levelASD']
3695TH,Mogden GS,51.463986,-0.340257,,,,,0.17126041666666633,0.172,0.171,0.177,0.177,0.177,['Stage'],['levelASD']
3697TH,Crane Gates,51.465414,-0.322425,,,,,2.0554270833333335,3.982,1.348,2.811,2.811,2.811,['Stage'],['levelASD']
3803TH,Bury Farm FSA FD,51.627195,-0.287063,,,,,6.790083333333331,6.794,6.785,6.776,6.776,6.776,['Stage'],['levelASD']
3804TH,Whetstone,51.623491,-0.185411,1.07,0.251,2.0,0.259,0.26812499999999995,0.269,0.267,0.263,0.263,0.263,['Stage'],['levelASD']
3806TH,North Finchley,51.614894,-0.189437,2.061,0.163,1.5,0.22,0.24682291666666656,0.249,0.245,0.278,0.278,0.278,['Stage'],['levelASD']
3815TH,Hampstead Suburb,51.584844,-0.180888,1.844,0.772,2.391,0.799,0.7959270833333337,0.797,0.795,0.794,0.794,0.794,['Stage'],['levelASD']
3820TH,Brent Cross,51.577539,-0.217549,1.379,0.056,1.135,0.075,0.08341666666666665,0.088,0.082,0.165,0.165,0.165,['Stage'],['levelASD']
3822TH,"Edgware, Deans Brook",51.617793,-0.26653,1.623,0.768,2.2,0.8170000000000001,0.7626979166666669,0.767,0.758,0.762,0.762,0.762,['Stage'],['levelASD']
3823TH,"Stanmore, Wolverton Road",51.610531,-0.313052,1.348,0.024,1.0,0.049,0.07361458333333336,0.082,0.067,0.162,0.162,0.162,['Stage'],['levelASD']
3826TH,Edgware Hospital,51.607093,-0.271414,2.121,0.243,2.68,0.61,0.6360104166666665,0.639,0.633,0.663,0.663,0.663,['Stage'],['levelASD']
3829TH,Colindale,51.591209,-0.244516,2.426,0.073,1.25,0.099,0.12081250000000014,0.125,0.119,0.134,0.134,0.134,['Stage'],['levelASD']
3838TH,Kenton Lane,51.587068,-0.307266,2.092,-0.43,0.75,0.112,0.17763541666666652,0.188,0.172,0.16,0.16,0.16,['Stage'],['levelASD']
3839TH,Wembley,51.562196,-0.27948,1.67,-0.003,2.22,0.066,0.07661458333333342,0.079,0.074,0.086,0.086,0.086,['Stage'],['levelASD']
3850TH,"Brent, Monks Park",51.551558,-0.267837,2.564,0.018,1.8,0.049,0.12016666666666649,0.238,0.069,0.092,0.092,0.092,['Stage'],['levelASD']
