stationReference,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,dryvalue,dryvaluemax,dryvaluemin,wetvalue,wetvaluemax,wetvaluemin,qualifier,parameter
2169,Ludlow Corve,52.381603,-2.724237,4.976,0.709,2.4,0.771,0.7542187500000002,0.758,0.745,0.814,0.814,0.814,['Stage'],['levelASD']
2170,Crudgington,52.754258,-2.534083,2.357,0.056,0.788,0.166,0.2595104166666666,0.264,0.248,0.265,0.265,0.265,['Stage'],['levelASD']
2175,Crew Green,52.735739,-2.994315,,,,,0.8849062499999999,0.977,0.801,,,,[],[]
2180,Bridgnorth,52.534933,-2.415835,5.264,0.316,3.6,0.521,0.7402395833333331,0.776,0.714,0.873,0.873,0.873,['Stage'],['levelASD']
2180TH,Tidmarsh,51.468325,-1.08539,1.954,0.8220000000000001,1.56,1.072,1.1193541666666664,1.127,1.106,1.278,1.278,1.278,['Stage'],['levelASD']
2188,Leigh Court,51.926224,-2.197575,4.236,-0.04,1.3,0.071,0.5782500000000003,0.641,0.562,0.61,0.61,0.61,['Stage'],['levelASD']
2190TH,Pangbourne,51.484688,-1.087539,1.09,0.046,0.78,0.079,0.14488541666666663,0.149,0.139,0.223,0.223,0.223,['Stage'],['levelASD']
2195,Sharpness,51.717437,-2.482837,11.711,1.979,10.2,2.0,1.4740208333333351,8.75,-3.28,-3.279,-3.279,-3.279,['Stage'],['levelASD']
2195TH,Sulham,51.462237,-1.077263,1.061,0.003,0.4,0.032,0.18516666666666645,0.189,0.179,0.172,0.172,0.172,['Stage'],['levelASD']
2199TH,Mapledurham Lock,51.486033,-1.039654,0.84,-0.343,0.3,0.017,0.13069791666666658,0.148,0.118,0.082,0.082,0.082,['Stage'],['levelASD']
2200,Wimpstone,52.141002,-1.689543,3.517,0.647,1.6,0.67,0.7207083333333332,0.725,0.718,0.77,0.77,0.77,['Stage'],['levelASD']
2200TH,Reading,51.461325,-0.967884,7.413,6.297,7.0,6.579,6.677531250000004,6.688,6.664,6.674,6.674,6.674,['Stage'],['levelASD']
2201TH,Caversham Lock,51.460811,-0.963635,1.021,-0.187,0.3,0.068,0.16584374999999998,0.328,0.132,0.159,0.159,0.159,['Stage'],['levelASD']
