stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,latestReading,parameter,qualifier,unitName
300874,51.373888,1.173263,620950.0,168650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
058461,53.979278,-1.646973,423250.0,453750.0,,,,,0.2,rainfall,Tipping Bucket Raingauge,mm
3602,52.813347,-0.803365,480750.0,324650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E4530,51.156945,1.009589,610550.0,144050.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
49171,50.419841,-4.409173,228950.0,60550.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
1339,52.718219,-2.570654,361550.0,313550.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E45871,53.676809,-0.5246919999999999,497550.0,421050.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E9340,50.986805,-0.268198,521650.0,122250.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
43102,51.067961,-2.063451,395650.0,129850.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3015,52.808314,-1.74405,417350.0,323450.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
47167,50.377366,-3.992093,258450.0,54950.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
277407TP,51.686586,-0.341445,514750.0,199950.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E1815,53.041102,-0.374951,509050.0,350550.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E44111,51.874052,0.368575,563150.0,222150.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E44121,51.931385,0.712001,586550.0,229350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E12560,51.006173,-1.114132,462250.0,123350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
47105,50.686858,-4.234529,242250.0,89850.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
082672,53.324572,-1.539797,430750.0,380950.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E24289,52.172202,0.2512939999999999,554050.0,255050.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E24935,51.702642,0.87633,598850.0,204350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
49149,50.679797,-4.695684,209650.0,90150.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E45881,53.219937,-0.507486,499750.0,370250.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E871,51.274484,0.217164,554750.0,155150.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
51127,51.163886,-3.611019,287450.0,141750.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
1201,52.343809,-1.955178,403150.0,271750.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
1814,52.481443,-1.558947,430050.0,287150.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E7155,52.645246,-0.4207039999999999,506950.0,306450.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
063518,53.876425,-1.532241,430850.0,442350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
52224,51.173877,-2.508462,364550.0,141750.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E1971,52.452473,-0.605675,494850.0,284750.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
264845TP,51.532367,-1.135676,460050.0,181850.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
274918TP,51.440044,-0.7662129999999999,485850.0,171950.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
48100,50.127328,-5.568494,145050.0,31350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
48106,50.390633,-4.752406,204450.0,58150.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
282781TP,51.256125,-0.566214,500150.0,151750.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
48192,50.238386,-5.248557,168450.0,42650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
531178,51.596598,-2.146477,389950.0,188650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
1331,52.596394,-2.471631,368150.0,299950.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
52228,51.440951,-2.8222,342950.0,171650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
551706,53.055708,-2.6691000000000003,355250.0,351150.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
051250,54.379686,-2.105419,393250.0,498250.0,,,,,0.6,rainfall,Tipping Bucket Raingauge,mm
45230,50.752768,-3.256625,311450.0,95550.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3165,52.399545,-2.050654,396650.0,277950.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3687,52.723063,-0.765859,483450.0,314650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
260221TP,51.63431,-1.505077,434350.0,192950.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
52102,51.064754,-2.737025,348450.0,129750.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E15720,51.291987,0.1950579999999999,553150.0,157050.0,,,,,0.0,rainfall,Water,mm
598928,54.524262,-2.505948,367350.0,514450.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
074329,53.986087,-1.999194,400150.0,454450.0,,,,,0.4,rainfall,Tipping Bucket Raingauge,mm
3588,52.958861,-1.577925,428450.0,340250.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3572,53.311933,-1.898644,406850.0,379450.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E3240,51.389586,0.842268,597850.0,169450.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E15510,51.307175,0.102521,546650.0,158550.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E7295,50.814838,0.358583,566250.0,104350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
43200,51.044768,-2.4129,371150.0,127350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E7095,53.326702,-0.11185,525850.0,382750.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
1712,52.639137,-2.325793,378050.0,304650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E24874,51.906849,1.087118,612450.0,227650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
287283TP,51.449283,-0.224851,523450.0,173750.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
