stationReference,latestReading,parameter,qualifier,unitName
3687,0.0,rainfall,Tipping Bucket Raingauge,mm
051250,0.6,rainfall,Tipping Bucket Raingauge,mm
3165,0.0,rainfall,Tipping Bucket Raingauge,mm
260221TP,0.0,rainfall,Tipping Bucket Raingauge,mm
E15720,0.0,rainfall,Water,mm
52102,0.0,rainfall,Tipping Bucket Raingauge,mm
074329,0.4,rainfall,Tipping Bucket Raingauge,mm
E15520,,rainfall,Tipping Bucket Raingauge,mm
E1965,,rainfall,Tipping Bucket Raingauge,mm
E15510,0.0,rainfall,Tipping Bucket Raingauge,mm
598928,0.0,rainfall,Tipping Bucket Raingauge,mm
43200,0.0,rainfall,Tipping Bucket Raingauge,mm
1712,0.0,rainfall,Tipping Bucket Raingauge,mm
287283TP,0.0,rainfall,Tipping Bucket Raingauge,mm
3782,0.0,rainfall,Tipping Bucket Raingauge,mm
3588,0.0,rainfall,Tipping Bucket Raingauge,mm
3572,0.0,rainfall,Tipping Bucket Raingauge,mm
251530TP,0.0,rainfall,Tipping Bucket Raingauge,mm
E10450,0.0,rainfall,Tipping Bucket Raingauge,mm
E3240,0.0,rainfall,Tipping Bucket Raingauge,mm
591642,0.0,rainfall,Tipping Bucket Raingauge,mm
E7295,0.0,rainfall,Tipping Bucket Raingauge,mm
49102,0.0,rainfall,Tipping Bucket Raingauge,mm
E1613,0.0,rainfall,Tipping Bucket Raingauge,mm
E7095,0.0,rainfall,Tipping Bucket Raingauge,mm
E24874,0.0,rainfall,Tipping Bucket Raingauge,mm
268851TP,0.0,rainfall,Tipping Bucket Raingauge,mm
247281TP,0.0,rainfall,Tipping Bucket Raingauge,mm
006403,0.0,rainfall,Tipping Bucket Raingauge,mm
1773,0.0,rainfall,Tipping Bucket Raingauge,mm
008850,0.4,rainfall,Tipping Bucket Raingauge,mm
013045,0.6,rainfall,Tipping Bucket Raingauge,mm
E14930,0.0,rainfall,Tipping Bucket Raingauge,mm
1748,0.0,rainfall,Tipping Bucket Raingauge,mm
035302,0.0,rainfall,Tipping Bucket Raingauge,mm
E11120,0.0,rainfall,Tipping Bucket Raingauge,mm
1387,0.0,rainfall,Tipping Bucket Raingauge,mm
077952,0.2,rainfall,Tipping Bucket Raingauge,mm
3998,0.0,rainfall,Tipping Bucket Raingauge,mm
E24894,0.0,rainfall,Tipping Bucket Raingauge,mm
554472,0.0,rainfall,Tipping Bucket Raingauge,mm
026297,0.0,rainfall,Tipping Bucket Raingauge,mm
591878,0.0,rainfall,Tipping Bucket Raingauge,mm
1812,0.0,rainfall,Tipping Bucket Raingauge,mm
552376,0.0,rainfall,Tipping Bucket Raingauge,mm
077800,0.0,rainfall,Tipping Bucket Raingauge,mm
013336,0.0,rainfall,Tipping Bucket Raingauge,mm
47113,0.0,rainfall,Tipping Bucket Raingauge,mm
45108,0.0,rainfall,Tipping Bucket Raingauge,mm
E6270,0.0,rainfall,Tipping Bucket Raingauge,mm
3610,0.0,rainfall,Tipping Bucket Raingauge,mm
E11060,0.0,rainfall,Tipping Bucket Raingauge,mm
E24763,0.0,rainfall,Tipping Bucket Raingauge,mm
583948,0.0,rainfall,Tipping Bucket Raingauge,mm
47168,0.0,rainfall,Tipping Bucket Raingauge,mm
47158,0.0,rainfall,Tipping Bucket Raingauge,mm
51125,0.0,rainfall,Tipping Bucket Raingauge,mm
E7780,0.0,rainfall,Tipping Bucket Raingauge,mm
43104,0.0,rainfall,Tipping Bucket Raingauge,mm
248332TP,0.0,rainfall,Tipping Bucket Raingauge,mm
3816,0.0,rainfall,Tipping Bucket Raingauge,mm
