stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
F3707,54.650589,-1.508677,431800.0,528500.0,2.157,0.027,1.5,0.137
2698TH,51.491873,-0.604104,497007.0,177916.0,1.259,-0.195,0.5,0.096
52229,51.282166,-2.768948,346466.0,153951.0,0.642,0.014,0.36,0.078
E71624,51.11439,1.32267,632652.0,140262.0,,,,
E71639,51.114372,1.322641,632650.0,140260.0,4.7620000000000005,,,
1453TH,51.920573,-1.306366,447800.0,224900.0,2.569,0.28600000000000003,1.3,0.361
E8190,50.989456,0.127659,549424.0,123272.0,2.998,-0.07200000000000001,2.208,0.0
45216,50.682142,-3.235982,312775.0,87672.0,1.855,0.0,0.4,0.008
750604,54.561659,-3.068796,330984.0,519019.0,18.04,6.901,16.68,10.088
1483TH,51.861059,-1.1192280000000001,460750.0,218420.0,2.984,0.222,2.0,0.297
E1530,51.107299,0.139866,549900.0,136400.0,3.7560000000000002,38.981,2.7,0.019
E4405,53.00001,-0.42790599999999995,505600.0,345900.0,0.733,0.0,0.71,0.04
47171,50.641712,-4.362839,233027.0,85112.0,1.881,0.062,0.961,0.115
E42196,52.315823,1.670054,650235.0,274979.0,2.805,,,
024014,54.62006,-1.8683269999999998,408600.0,525000.0,1.0,-0.069,0.6000000000000001,0.0
4058,53.013888,-1.738962,417610.0,346320.0,1.963,0.068,0.35100000000000003,0.147
L2404,53.952302,-1.078455,460574.0,451084.0,10.195,4.888,7.9,5.052
L1322,53.668661,-1.472656,434939.0,419262.0,1.771,-0.009000000000000001,1.25,0.003
2201TH,51.460811,-0.9636349999999999,472096.0,174047.0,1.021,-0.187,0.30000000000000004,0.068
2005,52.724474,-2.872198,341190.0,314450.0,7.008,-0.121,4.8,0.28700000000000003
E73424,54.03183,-2.9202500000000002,339820.0,459932.0,,,,
762006,54.667313,-2.659359,357570.0,530450.0,3.417,0.03,2.0,0.152
690350,53.494067,-2.375559,375181.0,399774.0,1.9609999999999999,0.062,1.79,0.07100000000000001
E8241,51.041711,-0.097823,533450.0,128650.0,,,,
1502TH,51.708312,-1.232825,453106.0,201343.0,0.6970000000000001,-0.23,0.4,-0.25
F1608,53.85124,-1.842838,410436.0,439458.0,3.015,0.065,1.75,0.212
2228,52.298087,-2.55805,362040.0,266810.0,4.231,0.45,3.0,0.47000000000000003
L1545,53.914547,-2.144584,390600.0,446500.0,2.008,0.055,1.3,0.114
E22008,52.669401,0.995655,602650.0,312178.0,1.738,-0.035,1.82,0.0
53153,51.554844,-2.092255,393700.0,184000.0,1.407,0.01,0.353,0.039
E22504,52.077093,0.491629,570846.0,245011.0,1.768,0.035,1.43,0.106
50153,51.016893,-3.822486,272260.0,125750.0,2.121,0.0,1.2,0.008
E22885,51.727462,0.441028,568683.0,206014.0,1.299,0.073,0.93,0.032
5522TH,51.583879,0.172001,550580.0,189460.0,1.152,0.277,0.7000000000000001,0.293
L3203,53.739883,-0.330677,510200.0,428350.0,4.34,,,
4146,53.0832,-1.32769,445130.0,354210.0,2.52,0.037,1.0,0.07200000000000001
2890TH,51.517498,-0.476763,505788.0,180942.0,2.54,0.496,2.15,0.578
E22727,51.997863,0.578311,577098.0,236408.0,2.273,0.0,1.45,0.044
2989TH,51.374167,-0.478479,506000.0,165000.0,1.979,0.672,0.9,0.313
E14530,50.824241,-1.576864,429900.0,102830.0,1.014,0.0,0.37,0.028
F1102,53.67527,-1.7380740000000001,417400.0,419900.0,2.352,0.011,1.0,0.219
E3003,52.720446,-0.36394499999999996,510600.0,314900.0,1.479,0.0,0.74,0.057
4011,53.124099,-1.5579290000000001,429680.0,358640.0,5.181,0.07100000000000001,2.5,0.28500000000000003
2420_w1TH,51.381826,-0.9666549999999999,472010.0,165260.0,1.3599999999999999,0.016,0.75,0.157
45119,50.8432,-3.392156,302079.0,105777.0,3.725,0.02,1.6,0.249
50116,50.946265,-4.137186,249960.0,118490.0,5.7620000000000005,0.14,3.0,0.445
712170,53.854769,-2.1589869999999998,389639.0,439851.0,2.339,0.035,1.35,0.073
3369TH,51.375687,-0.264339,520900.0,165500.0,2.087,0.8320000000000001,3.0,0.892
E4976,53.125717,-0.052667,530400.0,360500.0,2.33,0.0,1.78,0.093
L2307,54.401122,-1.7766060000000001,414600.0,500653.0,4.191,-0.075,3.0,0.0
L2803,53.819066,-0.927565,470700.0,436400.0,6.371,1.569,5.3,1.979
2886TH,51.598796,-0.37682899999999997,512521.0,190132.0,0.977,0.058,0.9400000000000001,0.17500000000000002
